127.0.0.1, 2013-09-11 18:06:08, GET, /NOUVELLES_EN_LIGNE/default/index.html, HTTP/1.1, 200, 0.040931
127.0.0.1, 2013-09-11 18:06:08, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2013-09-11 18:13:42, GET, /NOUVELLES_EN_LIGNE/default/mynews.html, HTTP/1.1, 303, 0.029556
127.0.0.1, 2013-09-11 18:13:42, GET, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 200, 0.027653
127.0.0.1, 2013-09-11 18:13:42, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2013-09-11 18:13:48, POST, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 303, 0.413236
127.0.0.1, 2013-09-11 18:13:48, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.036602
127.0.0.1, 2013-09-11 18:13:48, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000691
127.0.0.1, 2013-09-11 18:13:55, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.040284
127.0.0.1, 2013-09-11 18:14:13, GET, /NOUVELLES_EN_LIGNE/default/user/logout, HTTP/1.1, 303, 0.218468
127.0.0.1, 2013-09-11 18:14:13, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.040102
127.0.0.1, 2013-09-11 18:14:13, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000409
127.0.0.1, 2013-09-11 18:16:42, GET, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 200, 0.043651
127.0.0.1, 2013-09-11 18:16:42, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-09-11 18:16:46, POST, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 303, 0.462842
127.0.0.1, 2013-09-11 18:16:46, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.031091
127.0.0.1, 2013-09-11 18:16:46, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2013-09-11 18:16:47, GET, /NOUVELLES_EN_LIGNE/default/mynews.html, HTTP/1.1, 200, 0.036590
127.0.0.1, 2013-09-11 18:16:47, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000277
127.0.0.1, 2013-09-11 18:17:33, GET, /NOUVELLES_EN_LIGNE/default/user/logout, HTTP/1.1, 303, 0.209391
127.0.0.1, 2013-09-11 18:17:33, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.047161
127.0.0.1, 2013-09-11 18:17:33, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000279
127.0.0.1, 2013-09-11 18:17:56, GET, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 200, 0.035335
127.0.0.1, 2013-09-11 18:17:57, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000680
127.0.0.1, 2013-09-11 18:18:00, POST, /NOUVELLES_EN_LIGNE/default/user/login, HTTP/1.1, 303, 0.415162
127.0.0.1, 2013-09-11 18:18:00, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.039838
127.0.0.1, 2013-09-11 18:18:00, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000330
127.0.0.1, 2013-09-11 18:18:02, GET, /NOUVELLES_EN_LIGNE/default/mynews.html, HTTP/1.1, 200, 0.042481
127.0.0.1, 2013-09-11 18:18:02, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000280
127.0.0.1, 2013-09-11 18:18:06, GET, /NOUVELLES_EN_LIGNE/default/delete_news.html/47, HTTP/1.1, 303, 0.392393
127.0.0.1, 2013-09-11 18:18:06, GET, /NOUVELLES_EN_LIGNE/default/mynews, HTTP/1.1, 200, 0.028034
127.0.0.1, 2013-09-11 18:18:06, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2013-09-11 18:18:08, GET, /NOUVELLES_EN_LIGNE/default/post.html, HTTP/1.1, 200, 0.041023
127.0.0.1, 2013-09-11 18:18:08, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000412
127.0.0.1, 2013-09-11 18:18:22, POST, /NOUVELLES_EN_LIGNE/default/post.html, HTTP/1.1, 303, 0.554659
127.0.0.1, 2013-09-11 18:18:23, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.040197
127.0.0.1, 2013-09-11 18:18:23, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000273
127.0.0.1, 2013-09-11 18:18:34, GET, /NOUVELLES_EN_LIGNE/default/user/logout, HTTP/1.1, 303, 0.274973
127.0.0.1, 2013-09-11 18:18:34, GET, /NOUVELLES_EN_LIGNE/default/index, HTTP/1.1, 200, 0.034156
127.0.0.1, 2013-09-11 18:18:34, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000274
127.0.0.1, 2013-09-11 18:30:31, GET, /NOUVELLES_EN_LIGNE/default/catgry.html/Politics, HTTP/1.1, 200, 0.034484
127.0.0.1, 2013-09-11 18:30:31, GET, /NOUVELLES_EN_LIGNE/static/js/share.js, HTTP/1.1, 304, 0.000587
127.0.0.1, 2013-09-11 18:30:34, GET, /NOUVELLES_EN_LIGNE/default/index.html, HTTP/1.1, 200, 0.029342
